node1	node2
COL6A6	PDGFB
F2RL1	GNRH1
ADRA1D	KISS1R
UBE2C	SPSB4
IL7R	ADRB2
GPIHBP1	ART4
DEPDC1	NEK2
KIF4A	TTK
AVPR2	IL7R
UBE2C	NCAPG
RXFP1	VIPR1
CX3CR1	NMUR1
PRRT2	ADRA1B
UHRF1	AURKB
CDC20	KLHL41
ECT2	CKAP2L
SPARCL1	GOLM1
PRELP	B3GNT3
CYR61	APOA1
PTGFR	CHRM1
VIPR1	PTGIR
SBSPON	CFP
ADRA1D	NMUR1
LSAMP	LYPD6B
NPW	ADCY4
ZBTB16	SPSB4
PTGIR	RAMP2
ZBTB16	KLHL41
PTPRB	P2RX1
CHRDL1	CP
HIST1H2AC	SYNE1
HIST1H2AC	FOSB
SERPINA4	TIMP3
SLC2A5	PTPRB
SLIT2	HOXA2
TPSAB1	MMP1
SH3GL2	AVPR2
CDCA3	RRM2
B3GNT3	OGN
HIST1H2AC	GATA1
RNF182	HECW2
ACTN2	PPBP
ADM2	ADCY4
TCN1	CFP
GPIHBP1	LYPD1
CFD	FIGF
AVPR2	SH3GL3
NPR1	PDE5A
GPSM1	NPW
ADRA1B	NPFF
HOXA4	HIST1H2BD
CCL16	APLN
HIST1H2BD	MND1
CXCL12	PCP2
RXFP1	RAMP2
NPW	PCP2
NPW	S1PR5
CENPA	MELK
PCP2	NMUR1
PTH1R	PTGIR
SEMA5A	SBSPON
CXCL12	NPW
GPBAR1	ADM2
LYPD6B	RECK
OR52N4	REEP6
SPP1	CHRDL1
EXO1	RRM2
S1PR5	PPBP
NTNG1	ART4
SPSB4	HECW2
CEP55	KIF14
ADAMTS15	CFP
PTH1R	PTGDR
PCP2	CX3CL1
CDCA8	NCAPH
GPBAR1	RAMP2
RNF182	SPSB4
ADRA1B	F2RL1
NRN1	ART4
NMUR1	S1PR1
GPR17	PTGFR
CX3CR1	NPW
SPARCL1	PROC
PRRT2	S1PR1
GPSM1	CX3CR1
CNKSR2	VWF
PRRT2	FLT4
HIST1H2BD	ITGA2B
ADRA1D	F2RL1
GPSM1	CXCL12
PRRT2	FIGF
CYR61	CP
ADRA1B	KISS1R
HIST1H2BD	HOXA2
CHRDL1	PROC
CCL16	GPSM1
NMUR1	PPBP
ADCY4	CX3CL1
CALCRL	PTGDR
NRN1	LYPD6B
MDGA1	LYPD6B
STON1	ADRB2
NPW	CX3CL1
DEPDC1B	RHOV
SERPINA4	CLEC3B
EYA4	HIST1H2BD
GPSM1	S1PR1
EDN2	F2RL1
GPBAR1	PTGIR
SH3GL2	KIF4A
PTGFR	KISS1R
RNF182	KLHL41
MDGA1	RECK
CCL16	ADCY4
SBSPON	THSD1
ACTN2	CFD
CYR61	PROC
SEMA5A	ADAMTS8
SLC2A5	MCEMP1
NPW	PPBP
APLN	S1PR5
SEMA5A	ADAMTS15
PCP2	PPBP
SEMA5A	ADAMTSL4
HIST1H2AC	MEIS1
SCN7A	NFASC
GPR17	NPFF
SBSPON	ADAMTS8
GPSM1	PPBP
S1PR1	PPBP
ACTN2	FIGF
ADM2	PTGIR
HIST1H2AC	HOXA4
ADRA1B	NMUR1
GRIA1	TGFA
LYPD1	RECK
CYR61	CHRDL1
ADCY4	PPBP
ADRA1A	KISS1R
CNKSR2	ITGA2B
BUB1B	NCAPH
F2RL1	KISS1R
CCL16	NMUR1
GPSM1	NMUR1
HIST1H2AC	HOXA2
ADRA1A	NPFF
PCP2	S1PR1
GPR17	NPW
CCL16	NPW
VIP	PTGDR
PDGFB	SERPING1
SH3GL3	IL7R
APLN	ADCY4
LAMC3	CHRM1
ADRA1D	NPFF
EDNRB	KISS1R
CXCL12	CHRM1
CCL16	S1PR5
GOLM1	PROC
S1PR5	ADCY4
LSAMP	RECK
PTPRB	MCEMP1
RECK	ART4
GPSM1	S1PR5
HIST1H2AC	ITGA2B
LYPD6B	ART4
MDGA1	ART4
STON1	IL7R
GPR17	GNRH1
GPBAR1	RXFP1
GPSM1	CX3CL1
MMRN1	PDGFB
CCL16	GPR17
ADRA1A	F2RL1
F2RL1	NPFF
SEMA5A	ADAMTSL3
FIGF	SERPING1
PTGFR	NPFF
COL13A1	COL6A6
GPR17	EDN2
CHRDL1	APOA1
GPIHBP1	RECK
LSAMP	ART4
ADAMTS15	SBSPON
THSD1	ADAMTS8
CX3CR1	ADCY4
GPBAR1	CALCRL
GOLM1	CHRDL1
PTGDR	RAMP2
SH3GL2	IL7R
AVPR2	RAMP3
KLHL41	HECW2
MDGA1	LYPD1
ADAMTS8	CFP
GPR17	PPBP
ACTN2	PDGFB
GPBAR1	RAMP3
GPR17	PCP2
STON1	AVPR2
NMUR1	CX3CL1
NMUR1	F2RL1
NRN1	RECK
GPR17	ADRA1A
S1PR5	PCP2
APLN	CX3CR1
ADM2	AVPR2
APLN	PCP2
APLN	PPBP
EDN2	CHRM1
LYPD1	ART4
NPW	S1PR1
HIST1H2BD	MEIS1
SEMA5A	THSD1
GPBAR1	PTH1R
CCL16	PCP2
GAD1	MS4A2
