gene	logFC
DNAJC22	4.895735334
PRB3	4.907705734
NKX3-2	4.944136894
KRT17	4.948397359
C2CD4A	4.968273737
HIST1H2AL	4.982145836
KISS1R	4.994579914
CA9	5.006216844
TRIM54	5.071048349
AKR7A3	5.074296951
BCL2L15	5.078598686
SPDEF	5.124197524
BCAS1	5.127832639
MUC5B	5.145588469
COL11A1	5.159247597
LOC154860	5.246719642
ERN2	5.285169443
LOC100505989	5.289378984
LOC100131726	5.320355664
BCL2L10	5.466280458
FLJ26484	5.479513606
BARX2	5.658159003
TUBB3	5.704421426
COL10A1	5.708249895
FUT2	5.708737315
LOC645249	5.710875983
PITX1	5.961711178
ENTPD8	6.123166857
CRLF1	6.155412748
HTR3A	6.196649022
NPW	6.266814226
FOXA3	6.287565833
HOXC10	6.319594409
B3GNT3	6.365831487
MMP12	6.442024255
MMP1	6.529174342
COL17A1	6.579809885
S100P	6.639190536
FUT6	6.659701964
SPP1	6.697793935
SLC15A1	6.762488426
CST4	6.763717798
KRT6A	6.791039923
MMP11	6.794627162
ATP10B	6.873840837
GCNT3	7.005554489
HNF4A	7.050700387
PPP1R14D	7.068807294
MYEOV	7.149026361
TMPRSS4	7.155989045
GPX2	7.234420919
TM4SF4	7.243316275
HIST1H2AM	7.318177674
LOC389332	7.43574881
SERPINA4	7.616733822
CST1	7.682141978
PADI1	7.851571255
TM4SF5	8.555002827
SPINK1	8.650165291
TCN1	8.680356254
B3GNT6	9.330435565
TFF1	9.6195506
BARX1	10.71598959
