ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0055001	muscle cell development	24/900	186/18670	1.07877791598016e-05	0.000869808193868522	0.000718696866265902	SYNPO2L/P2RX2/ADRA1A/ANKRD1/TNNT3/CAV3/TCAP/ACTN2/RAMP2/MYH10/PGM5/PI16/LDB3/CAV2/CASQ2/TBX3/TMOD1/TNNT2/MYOZ1/BVES/CACNA2D2/MYH3/CCNB1/SIX4	24
BP	GO:0007411	axon guidance	31/900	276/18670	1.09763961570348e-05	0.000870968323635191	0.000719655447288297	WNT3A/TNR/SLIT2/CNTN6/NTNG1/SEMA3G/SEMA6A/ROBO4/SLIT3/SEMA5A/MYH10/DCC/SHANK3/NFASC/ROBO3/HOXA2/RNF165/DOK6/GFRA2/FEZ1/SEMA6D/SHC3/SEMA3D/DSCAML1/CXCL12/PTPRM/EFNA4/SEMA4B/IGSF9/EPHA10/TUBB3	31
BP	GO:0044784	metaphase/anaphase transition of cell cycle	12/900	56/18670	1.14773562654582e-05	0.000896489124547272	0.000740742532658846	DUSP1/MAPK15/HECW2/MAD2L1/TTK/PLK1/CCNB1/BUB1B/CDC6/AURKB/CDC20/DLGAP5	12
BP	GO:0097485	neuron projection guidance	31/900	277/18670	1.18038533420606e-05	0.000907807120876323	0.000750094259340014	WNT3A/TNR/SLIT2/CNTN6/NTNG1/SEMA3G/SEMA6A/ROBO4/SLIT3/SEMA5A/MYH10/DCC/SHANK3/NFASC/ROBO3/HOXA2/RNF165/DOK6/GFRA2/FEZ1/SEMA6D/SHC3/SEMA3D/DSCAML1/CXCL12/PTPRM/EFNA4/SEMA4B/IGSF9/EPHA10/TUBB3	31
BP	GO:0032970	regulation of actin filament-based process	39/900	388/18670	1.22892705644838e-05	0.000930819144725065	0.000769108416188744	MYOC/SYNPO2L/FAM107A/SLIT2/KANK3/CAV1/PLEKHH2/CAV3/TEK/ACTN2/SFRP1/ARHGEF15/SEMA5A/TNNC1/SHANK3/CORO2B/S1PR1/ATP1A2/DLC1/CX3CL1/TMSB15A/TMOD1/APOA1/ARHGAP6/PRKCE/NTRK3/SYNPO2/LIMCH1/GPM6B/RHOJ/RYR2/CXCL12/GJA5/DSG2/ECT2/MDK/DSP/F2RL1/RHOV	39
BP	GO:0090130	tissue migration	37/900	361/18670	1.32589752817417e-05	0.000989277872140697	0.000817411139128899	BMPER/SLIT2/CCBE1/ANGPT4/FGF10/TEK/FOXF1/SEMA5A/ACVRL1/GATA2/EMP2/ANGPT1/FLT4/SASH1/MMRN2/WNT7A/MCC/APOA1/FGF2/PRKCE/SOX18/PECAM1/CLEC14A/RHOJ/HBEGF/KDR/STARD13/PTN/KANK2/PTPRM/PDGFB/RAB25/MARVELD3/ANLN/S100A2/FERMT1/S100P	37
BP	GO:0014706	striated muscle tissue development	39/900	390/18670	1.38379259930897e-05	0.00101729105940376	0.000840557609858887	WNT3A/P2RX2/SGCG/ADRA1A/ANKRD1/TCF21/CAV1/NDRG4/ALDH1A2/CAV3/TCAP/ACTN2/TBX2/TNNC1/MYH10/PGM5/HLF/PI16/S1PR1/CAV2/CYP26B1/HEG1/HLX/TBX3/TNNT2/FGF2/MYOZ1/BVES/SOX17/MEIS1/RYR2/GJA5/DSG2/CCNB1/SIX4/DSP/SOX11/COL11A1/PITX1	39
BP	GO:0006941	striated muscle contraction	23/900	177/18670	1.45713394882872e-05	0.00105568298698475	0.000872279727719892	ADRA1A/NOS1/CAV1/TNNT3/CAV3/SCN2B/SCN4B/TCAP/TNNC1/SYNM/SCN1A/ATP1A2/CASQ2/TNNT2/PDE5A/ADRA1B/RYR2/MYH3/GSTM2/GJA5/DSG2/ATP1B1/DSP	23
BP	GO:0001657	ureteric bud development	16/900	97/18670	1.50401196479466e-05	0.0010740794017155	0.000887480142835225	BMPER/GPC3/TCF21/SLIT2/SFRP1/NPNT/WNT2B/SMAD6/FGF2/FAT4/EPCAM/SIX4/HOXB7/KIF26B/SIX2/CRLF1	16
BP	GO:0072163	mesonephric epithelium development	16/900	98/18670	1.71827520211585e-05	0.0011878700255367	0.000981501980439455	BMPER/GPC3/TCF21/SLIT2/SFRP1/NPNT/WNT2B/SMAD6/FGF2/FAT4/EPCAM/SIX4/HOXB7/KIF26B/SIX2/CRLF1	16
BP	GO:0072164	mesonephric tubule development	16/900	98/18670	1.71827520211585e-05	0.0011878700255367	0.000981501980439455	BMPER/GPC3/TCF21/SLIT2/SFRP1/NPNT/WNT2B/SMAD6/FGF2/FAT4/EPCAM/SIX4/HOXB7/KIF26B/SIX2/CRLF1	16
BP	GO:1903034	regulation of response to wounding	23/900	179/18670	1.75245899496278e-05	0.0011878700255367	0.000981501980439455	CPB2/TNR/CAV1/DUOX1/AJAP1/THBD/CD36/VTN/KLKB1/FGF2/MYOZ1/PRKCE/NTRK3/SELP/SERPING1/HBEGF/PTN/PDGFB/MDK/F2RL1/PROC/TSPAN8/SPP1	23
BP	GO:0030048	actin filament-based movement	20/900	143/18670	1.75839931765784e-05	0.0011878700255367	0.000981501980439455	DES/CAV1/TNNT3/CAV3/SCN2B/SCN4B/TCAP/ACTN2/TNNC1/MYH10/SCN1A/EMP2/ATP1A2/TMOD1/TNNT2/RYR2/MYH3/GJA5/DSG2/DSP	20
BP	GO:0010631	epithelial cell migration	36/900	352/18670	1.81121061506571e-05	0.00120723224862847	0.000997500414528821	BMPER/SLIT2/CCBE1/ANGPT4/FGF10/TEK/SEMA5A/ACVRL1/GATA2/EMP2/ANGPT1/FLT4/SASH1/MMRN2/WNT7A/MCC/APOA1/FGF2/PRKCE/SOX18/PECAM1/CLEC14A/RHOJ/HBEGF/KDR/STARD13/PTN/KANK2/PTPRM/PDGFB/RAB25/MARVELD3/ANLN/S100A2/FERMT1/S100P	36
BP	GO:0048286	lung alveolus development	10/900	41/18670	1.84641714204892e-05	0.00121450517014507	0.00100350981515235	TCF21/FGF10/FOXF1/PGR/HOXA5/FLT4/SFTPD/EDN2/SLC7A11/STRA6	10
BP	GO:0021700	developmental maturation	31/900	284/18670	1.9389863930794e-05	0.00125883025701349	0.00104013432760677	MYOC/ALDH1A2/EPAS1/TAL1/ARHGEF15/PGR/EDNRB/PTH1R/ACVRL1/LGI4/HOXA5/GATA2/S1PR1/CDH5/NFASC/PHOSPHO1/CX3CL1/RECK/GLDN/CX3CR1/LHX6/SLC17A7/SOX18/NR4A2/FAT4/KIF14/CCNB1/CDH3/CDC20/FERMT1/SPINK1	31
BP	GO:0050679	positive regulation of epithelial cell proliferation	25/900	206/18670	2.07907617112468e-05	0.00132275796176941	0.00109295590528277	WNT3A/VIP/FGF10/TEK/SFRP1/TGM1/SEMA5A/ACVRL1/GATA2/CAV2/APLN/FLT4/WNT7A/FGF2/EGFL7/KDR/CXCL12/PTN/PDGFB/TGFA/NME1/MDK/CDH3/SOX11/MMP12	25
BP	GO:0001508	action potential	19/900	133/18670	2.09037565472661e-05	0.00132275796176941	0.00109295590528277	ADRA1A/CAV1/NTRK2/CAV3/SCN2B/SCN4B/SCN7A/SCN1A/KCNB1/ATP1A2/CD36/P2RX1/NTRK3/KCNMB2/RYR2/GJA5/DSG2/ATP1B1/DSP	19
BP	GO:0090132	epithelium migration	36/900	355/18670	2.17587124607896e-05	0.00135214695087314	0.0011172391605113	BMPER/SLIT2/CCBE1/ANGPT4/FGF10/TEK/SEMA5A/ACVRL1/GATA2/EMP2/ANGPT1/FLT4/SASH1/MMRN2/WNT7A/MCC/APOA1/FGF2/PRKCE/SOX18/PECAM1/CLEC14A/RHOJ/HBEGF/KDR/STARD13/PTN/KANK2/PTPRM/PDGFB/RAB25/MARVELD3/ANLN/S100A2/FERMT1/S100P	36
BP	GO:0055074	calcium ion homeostasis	44/900	471/18670	2.19091624366321e-05	0.00135214695087314	0.0011172391605113	GPR17/P2RX2/ADRA1A/GRIA1/SLC25A27/NOS1/CALB2/CAV1/CCL23/RAMP3/CAV3/MCOLN3/CCL14/EDNRB/PTH1R/NPFF/GATA2/PTGDR/S1PR1/TRPC3/CDH5/ATP1A2/CD36/CASQ2/CX3CL1/PTGFR/CX3CR1/P2RX1/ADRA1B/FGF2/PRKCE/RIC3/TRPC1/RYR2/CXCL12/PTGIR/JPH4/CDH23/GSTM2/CYP27B1/ATP1B1/EDN2/F2RL1/FAM155B	44
BP	GO:0032412	regulation of ion transmembrane transporter activity	29/900	260/18670	2.38240310318527e-05	0.00143094787133115	0.00118235003781882	GRIA1/FHL1/NOS1/CAV1/FXYD1/CAV3/SCN2B/ARC/ADRB2/SCN4B/ACTN2/SHANK3/ATP1A2/CACNG4/RGS9/CASQ2/REM1/PRKCE/CACNB4/ATP1B2/HECW2/RYR2/JPH4/GSTM2/FXYD6/WNK2/ATP1B1/TESC/HTR3A	29
BP	GO:0061337	cardiac conduction	20/900	146/18670	2.39486377188012e-05	0.00143094787133115	0.00118235003781882	NOS1/CAV1/FXYD1/SCN2B/SCN4B/NPR1/ATP1A2/CACNG4/CASQ2/CACNB4/ATP1B2/TRPC1/RYR2/CACNA2D2/FXYD6/GJA5/DSG2/ATP1B1/DSP/KCNK1	20
BP	GO:0006874	cellular calcium ion homeostasis	43/900	458/18670	2.40447331850004e-05	0.00143094787133115	0.00118235003781882	GPR17/P2RX2/ADRA1A/GRIA1/SLC25A27/NOS1/CALB2/CAV1/CCL23/RAMP3/CAV3/MCOLN3/CCL14/EDNRB/PTH1R/NPFF/GATA2/PTGDR/S1PR1/TRPC3/CDH5/ATP1A2/CD36/CASQ2/CX3CL1/PTGFR/CX3CR1/P2RX1/ADRA1B/FGF2/PRKCE/RIC3/TRPC1/RYR2/CXCL12/PTGIR/JPH4/CDH23/GSTM2/ATP1B1/EDN2/F2RL1/FAM155B	43
BP	GO:0030071	regulation of mitotic metaphase/anaphase transition	11/900	51/18670	2.48534545568052e-05	0.00146167552152317	0.0012077393892372	DUSP1/HECW2/MAD2L1/TTK/PLK1/CCNB1/BUB1B/CDC6/AURKB/CDC20/DLGAP5	11
BP	GO:2001212	regulation of vasculogenesis	6/900	14/18670	2.65479436200479e-05	0.00154317639716999	0.00127508115991515	TMEM100/RAMP2/EMP2/HEY1/KDR/XDH	6
BP	GO:0045785	positive regulation of cell adhesion	39/900	403/18670	2.91320811883189e-05	0.00164389707517009	0.0013583036866252	MYOC/WNT3A/CAV1/LIMS2/SPOCK2/TEK/ABI3BP/SFRP1/FOXF1/EMP2/ZBTB16/VWC2/CD36/ANGPT1/CASS4/NPNT/CD160/VTN/IL7R/CX3CL1/SIRPB1/HLX/MMRN2/IL12A/MMRN1/APOA1/ECM2/PRKCE/KDR/CXCL12/ZAP70/PTN/IL1RL2/MDK/FRMD5/KIF26B/FERMT1/VTCN1/AGR2	39
BP	GO:0035107	appendage morphogenesis	20/900	148/18670	2.9267221382304e-05	0.00164389707517009	0.0013583036866252	GPC3/ALDH1A2/FGF10/RSPO2/TBX2/TBX4/ZBTB16/CYP26B1/RECK/TBX3/RNF165/WNT7A/MYH3/FRAS1/GJA5/SALL4/CRABP2/SOX11/PITX1/HOXC10	20
BP	GO:0035108	limb morphogenesis	20/900	148/18670	2.9267221382304e-05	0.00164389707517009	0.0013583036866252	GPC3/ALDH1A2/FGF10/RSPO2/TBX2/TBX4/ZBTB16/CYP26B1/RECK/TBX3/RNF165/WNT7A/MYH3/FRAS1/GJA5/SALL4/CRABP2/SOX11/PITX1/HOXC10	20
BP	GO:0045216	cell-cell junction organization	23/900	185/18670	2.99049042280639e-05	0.00165692035305656	0.00136906443718089	CAV1/CDH19/LIMS2/RAMP2/CDH5/NFASC/CLDN5/CADM3/HEG1/PECAM1/GPBAR1/ESAM/PRTN3/GJA5/PKP3/DSG2/MARVELD3/LSR/ECT2/CDH3/DSP/F2RL1/GJB2	23
BP	GO:2000649	regulation of sodium ion transmembrane transporter activity	11/900	52/18670	3.01619828221937e-05	0.00165692035305656	0.00136906443718089	FXYD1/CAV3/SCN2B/SCN4B/ATP1A2/PRKCE/HECW2/FXYD6/WNK2/ATP1B1/TESC	11
BP	GO:0007204	positive regulation of cytosolic calcium ion concentration	33/900	319/18670	3.18062436156819e-05	0.00172825447646515	0.0014280057202281	GPR17/P2RX2/ADRA1A/NOS1/CAV1/RAMP3/CAV3/MCOLN3/EDNRB/PTH1R/NPFF/GATA2/PTGDR/S1PR1/TRPC3/ATP1A2/CD36/CASQ2/CX3CL1/PTGFR/CX3CR1/ADRA1B/FGF2/PRKCE/RIC3/TRPC1/RYR2/PTGIR/JPH4/GSTM2/EDN2/F2RL1/FAM155B	33
BP	GO:0051983	regulation of chromosome segregation	16/900	103/18670	3.25011275702688e-05	0.00173382405269917	0.00143260769686391	DUSP1/MAPK15/HECW2/MAD2L1/TTK/PLK1/KIF2C/CCNB1/BUB1B/CDC6/AURKB/ECT2/CDCA5/CDC20/DLGAP5/NEK2	16
BP	GO:0030308	negative regulation of cell growth	23/900	186/18670	3.26024126732791e-05	0.00173382405269917	0.00143260769686391	WNT3A/TNR/FHL1/SLIT2/SEMA3G/SEMA6A/CAV3/SLIT3/SFRP1/SEMA5A/DCC/NPR1/ACVRL1/PI16/MEG3/CRYAB/SEMA6D/SEMA3D/SOX17/CYP27B1/SEMA4B/SPP1/HNF4A	23
BP	GO:0007585	respiratory gaseous exchange by respiratory system	12/900	62/18670	3.40250401044705e-05	0.0017585745975137	0.00145305834233031	SFTPC/CCBE1/TNNC1/HOXA5/SFTPA1/ATP1A2/APLN/FLT4/SFTPA2/SFTPD/NR4A2/TCF15	12
BP	GO:1905818	regulation of chromosome separation	12/900	62/18670	3.40250401044705e-05	0.0017585745975137	0.00145305834233031	DUSP1/MAPK15/HECW2/MAD2L1/TTK/PLK1/CCNB1/BUB1B/CDC6/AURKB/CDC20/DLGAP5	12
BP	GO:0055117	regulation of cardiac muscle contraction	14/900	82/18670	3.4123171826131e-05	0.0017585745975137	0.00145305834233031	ADRA1A/NOS1/CAV1/CAV3/ATP1A2/CASQ2/PDE5A/ADRA1B/RYR2/GSTM2/GJA5/DSG2/ATP1B1/DSP	14
BP	GO:0018108	peptidyl-tyrosine phosphorylation	36/900	363/18670	3.50032550049434e-05	0.00178552318132359	0.00147532516261437	WNT3A/ADRA1A/CAV1/NTRK2/GATA1/ANGPT4/TAL1/FGF10/TEK/SFRP1/CD36/ANGPT1/CASS4/TIE1/VTN/FLT4/FGFR4/IL12A/PRKCE/PECAM1/NTRK3/SH3BP5/HBEGF/KDR/ZAP70/PDGFB/TGFA/TTK/PTK6/STYK1/MELK/CBLC/SRMS/EPHA10/CRLF1/SPINK1	36
BP	GO:0048754	branching morphogenesis of an epithelial tube	20/900	150/18670	3.56182460806735e-05	0.00179854153694229	0.00148608184604532	GPC3/TCF21/SLIT2/CAV3/FGF10/RSPO2/FOXF1/HHIP/PGR/HOXA5/NPNT/WNT2B/RASIP1/TBX3/FGF2/FAT4/SIX4/HOXB7/MDK/SIX2	20
BP	GO:1902668	negative regulation of axon guidance	8/900	28/18670	3.70873155338917e-05	0.00185399490353925	0.00153190132794728	WNT3A/SLIT2/SEMA3G/SEMA6A/SEMA5A/SEMA6D/SEMA3D/SEMA4B	8
BP	GO:0018212	peptidyl-tyrosine modification	36/900	366/18670	4.16257393534353e-05	0.00204795512980546	0.00169216494443239	WNT3A/ADRA1A/CAV1/NTRK2/GATA1/ANGPT4/TAL1/FGF10/TEK/SFRP1/CD36/ANGPT1/CASS4/TIE1/VTN/FLT4/FGFR4/IL12A/PRKCE/PECAM1/NTRK3/SH3BP5/HBEGF/KDR/ZAP70/PDGFB/TGFA/TTK/PTK6/STYK1/MELK/CBLC/SRMS/EPHA10/CRLF1/SPINK1	36
BP	GO:0022898	regulation of transmembrane transporter activity	29/900	268/18670	4.17866419764267e-05	0.00204795512980546	0.00169216494443239	GRIA1/FHL1/NOS1/CAV1/FXYD1/CAV3/SCN2B/ARC/ADRB2/SCN4B/ACTN2/SHANK3/ATP1A2/CACNG4/RGS9/CASQ2/REM1/PRKCE/CACNB4/ATP1B2/HECW2/RYR2/JPH4/GSTM2/FXYD6/WNK2/ATP1B1/TESC/HTR3A	29
BP	GO:0007517	muscle organ development	39/900	410/18670	4.2692511904847e-05	0.00207203754380903	0.00171206353310802	WNT3A/P2RX2/SGCG/CNTFR/FHL1/ANKRD1/TCF21/CAV1/CAV3/TCAP/ADARB1/TBX2/TNNC1/HLF/PI16/S1PR1/CAV2/CRYAB/CYP26B1/HEG1/HLX/TNNT2/FGF2/MYOZ1/BVES/SOX17/MEIS1/RYR2/HBEGF/MYH3/TCF15/CCNB1/SIX4/DSP/ITGA11/SOX11/STRA6/COL11A1/PITX1	39
BP	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	11/900	54/18670	4.37663767164862e-05	0.00210373189620879	0.00173825164205963	DUSP1/HECW2/MAD2L1/TTK/PLK1/CCNB1/BUB1B/CDC6/AURKB/CDC20/DLGAP5	11
BP	GO:0007599	hemostasis	34/900	341/18670	5.14075983365515e-05	0.00243200471376635	0.00200949379282576	WNT3A/P2RX6/CPB2/P2RX2/SCUBE1/CAV1/ITGA2B/AVPR2/GATA1/GP9/PEAR1/GATA2/VWF/TRPC3/THBD/CD36/VTN/KLKB1/MMRN1/FBLN1/P2RX1/A2M/PRKCE/F10/SELP/SERPING1/PRTN3/PDGFB/F2RL1/SLC7A11/C4BPB/PROC/TSPAN8/HNF4A	34
BP	GO:0002028	regulation of sodium ion transport	14/900	85/18670	5.15688136945855e-05	0.00243200471376635	0.00200949379282576	NOS1/FXYD1/CAV3/SCN2B/ADRB2/SCN4B/ATP1A2/PRKCE/ATP1B2/HECW2/FXYD6/WNK2/ATP1B1/TESC	14
BP	GO:0048736	appendage development	22/900	179/18670	5.27055169323358e-05	0.00243958221430321	0.0020157548581139	RSPO4/GPC3/ALDH1A2/FGF10/RSPO2/TBX2/TBX4/ZBTB16/CYP26B1/RECK/TBX3/RNF165/WNT7A/MYH3/FRAS1/GJA5/SALL4/SLC7A11/CRABP2/SOX11/PITX1/HOXC10	22
BP	GO:0060173	limb development	22/900	179/18670	5.27055169323358e-05	0.00243958221430321	0.0020157548581139	RSPO4/GPC3/ALDH1A2/FGF10/RSPO2/TBX2/TBX4/ZBTB16/CYP26B1/RECK/TBX3/RNF165/WNT7A/MYH3/FRAS1/GJA5/SALL4/SLC7A11/CRABP2/SOX11/PITX1/HOXC10	22
BP	GO:0042692	muscle cell differentiation	37/900	385/18670	5.36601985147715e-05	0.00244951602948315	0.002023962876721	WNT3A/SYNPO2L/P2RX2/ADRA1A/NOS1/ANKRD1/TNNT3/CAV3/FGF10/TCAP/ACTN2/FOXF1/TBX2/RAMP2/MYH10/EDNRB/PGM5/PI16/SYNE1/ITGA8/LDB3/CAV2/NPNT/CYP26B1/CASQ2/TBX3/TMOD1/TNNT2/MYOZ1/BVES/HEY1/CACNA2D2/MYH3/PDGFB/CCNB1/SIX4/BARX2	37
BP	GO:1901888	regulation of cell junction assembly	23/900	192/18670	5.39001326751643e-05	0.00244951602948315	0.002023962876721	MYOC/WNT3A/FAM107A/LRRN3/CAV1/NTRK2/TEK/SFRP1/ACVRL1/MDGA1/LRRTM2/CLDN5/DLC1/PTPRD/WNT7A/ARHGAP6/GPBAR1/NTRK3/LIMCH1/GPM6B/LRRC4B/KDR/SIX4	23
BP	GO:0035296	regulation of tube diameter	19/900	143/18670	5.81427488437173e-05	0.00257394626209727	0.00212677590938602	SLC6A4/ADRA1A/VIP/NOS1/CAV1/AVPR2/ADRB2/EDNRB/NPR1/ATP1A2/APLN/DOCK4/P2RX1/ADRA1B/KCNMB2/PTPRM/GJA5/EDN2/F2RL1	19
BP	GO:0097746	regulation of blood vessel diameter	19/900	143/18670	5.81427488437173e-05	0.00257394626209727	0.00212677590938602	SLC6A4/ADRA1A/VIP/NOS1/CAV1/AVPR2/ADRB2/EDNRB/NPR1/ATP1A2/APLN/DOCK4/P2RX1/ADRA1B/KCNMB2/PTPRM/GJA5/EDN2/F2RL1	19
BP	GO:0043583	ear development	25/900	219/18670	5.81828220878158e-05	0.00257394626209727	0.00212677590938602	WNT3A/BMPER/SLC25A27/FGF10/MCOLN3/TCAP/GATA2/GABRB2/ITGA8/TMIE/HOXA2/LIN7A/NTRK3/FAT4/CDH23/TCF15/SIX4/OTX1/SIX2/CXCL14/CTHRC1/STRA6/GJB2/NKX3-2/COL11A1	25
BP	GO:0006942	regulation of striated muscle contraction	15/900	97/18670	6.00063468430486e-05	0.00263133094621404	0.00217419118201406	ADRA1A/NOS1/CAV1/TNNT3/CAV3/ATP1A2/CASQ2/PDE5A/ADRA1B/RYR2/GSTM2/GJA5/DSG2/ATP1B1/DSP	15
BP	GO:0048738	cardiac muscle tissue development	26/900	233/18670	6.13593279257753e-05	0.00266726330696479	0.00220388103231801	WNT3A/SGCG/ADRA1A/ANKRD1/NDRG4/ALDH1A2/CAV3/TCAP/ACTN2/TBX2/TNNC1/MYH10/PI16/S1PR1/HEG1/TBX3/TNNT2/FGF2/BVES/MEIS1/RYR2/GJA5/DSG2/CCNB1/DSP/COL11A1	26
BP	GO:0072089	stem cell proliferation	17/900	120/18670	6.24133185293962e-05	0.00268122209497036	0.00221541476730372	WNT3A/HHIP/CX3CL1/NES/WNT2B/TBX3/FBLN1/CX3CR1/FGF2/SOX18/SOX17/PTN/EPCAM/OVOL1/SIX2/SOX11/FERMT1	17
BP	GO:0048562	embryonic organ morphogenesis	30/900	288/18670	6.31318600108793e-05	0.00268122209497036	0.00221541476730372	WNT3A/TCF21/NDRG4/CRB2/FGF10/TCAP/HOXA4/FOXF1/TBX2/HOXA5/GATA2/ITGA8/TMIE/HOXA2/HOXA6/HLX/TBX3/SOX18/DSCAML1/SOX17/RYR2/SIX4/HOXB7/OTX1/SIX2/SOX11/CTHRC1/STRA6/NKX3-2/COL11A1	30
BP	GO:0042310	vasoconstriction	13/900	76/18670	6.32894993411688e-05	0.00268122209497036	0.00221541476730372	SLC6A4/ADRA1A/CAV1/AVPR2/EDNRB/ATP1A2/APLN/DOCK4/P2RX1/ADRA1B/KCNMB2/GJA5/EDN2	13
BP	GO:0035150	regulation of tube size	19/900	144/18670	6.40145235498411e-05	0.00268914792626601	0.0022219636480281	SLC6A4/ADRA1A/VIP/NOS1/CAV1/AVPR2/ADRB2/EDNRB/NPR1/ATP1A2/APLN/DOCK4/P2RX1/ADRA1B/KCNMB2/PTPRM/GJA5/EDN2/F2RL1	19
BP	GO:0072503	cellular divalent inorganic cation homeostasis	44/900	493/18670	6.50179731138096e-05	0.00270854039663278	0.00223798707454903	GPR17/P2RX2/ADRA1A/GRIA1/SLC25A27/NOS1/CALB2/CAV1/CCL23/RAMP3/CAV3/MCOLN3/CCL14/EDNRB/PTH1R/NPFF/GATA2/PTGDR/S1PR1/TRPC3/CDH5/ATP1A2/CD36/CASQ2/CX3CL1/PTGFR/CX3CR1/P2RX1/ADRA1B/FGF2/PRKCE/RIC3/TRPC1/RYR2/SLC39A8/CXCL12/PTGIR/JPH4/CDH23/GSTM2/ATP1B1/EDN2/F2RL1/FAM155B	44
BP	GO:0043270	positive regulation of ion transport	29/900	275/18670	6.67295906663198e-05	0.00275686961769366	0.00227792008503383	SLC6A4/CHRM1/P2RX2/FHL1/NOS1/CAV1/FXYD1/RAMP3/ARC/ADRB2/SCN4B/ACTN2/SHANK3/TRPC3/CACNG4/RGS9/CX3CL1/P2RX1/APOA1/ATP1B2/TRPC1/RYR2/CXCL12/GSTM2/PDGFB/WNK2/ATP1B1/TESC/HTR3A	29
BP	GO:0061138	morphogenesis of a branching epithelium	22/900	182/18670	6.7824509545445e-05	0.00277913707555475	0.00229631902895881	GPC3/TCF21/SLIT2/CAV3/FGF10/RSPO2/SFRP1/FOXF1/HHIP/PGR/HOXA5/NPNT/WNT2B/RASIP1/TBX3/FGF2/RSPO3/FAT4/SIX4/HOXB7/MDK/SIX2	22
BP	GO:0010466	negative regulation of peptidase activity	28/900	262/18670	7.01518002048748e-05	0.00285112885548105	0.00235580371419708	WFDC12/GPC3/SERPINA9/COL4A3/CRB2/ANXA8L1/SPOCK2/SERPINI2/TIMP3/PI16/CRYAB/VTN/RECK/A2M/AQP1/SERPING1/LAMP3/ITIH5/SFN/BIRC5/WFDC2/CST2/WFDC3/AMBP/CST4/SERPINA4/CST1/SPINK1	28
BP	GO:0010965	regulation of mitotic sister chromatid separation	11/900	57/18670	7.39249487741967e-05	0.00297165470669182	0.00245539067162036	DUSP1/HECW2/MAD2L1/TTK/PLK1/CCNB1/BUB1B/CDC6/AURKB/CDC20/DLGAP5	11
BP	GO:0001763	morphogenesis of a branching structure	23/900	196/18670	7.4306228913078e-05	0.00297165470669182	0.00245539067162036	GPC3/TCF21/SLIT2/CAV3/FGF10/RSPO2/SFRP1/FOXF1/HHIP/PGR/HOXA5/COL13A1/NPNT/WNT2B/RASIP1/TBX3/FGF2/RSPO3/FAT4/SIX4/HOXB7/MDK/SIX2	23
BP	GO:0043114	regulation of vascular permeability	9/900	39/18670	7.74269361038016e-05	0.00307188296494368	0.00253820632641034	SLIT2/TEK/RAMP2/PDE2A/NPR1/CDH5/ANGPT1/AKAP12/C2CD4A	9
BP	GO:0003205	cardiac chamber development	21/900	171/18670	7.82492276018155e-05	0.00308006211638957	0.00254496451810629	SLIT2/CAV3/TEK/SLIT3/FOXF1/TBX2/TNNC1/PDE2A/MYH10/HEG1/TBX3/SMAD6/TNNT2/HEY1/RYR2/GJA5/SALL4/DSP/SOX11/STRA6/COL11A1	21
BP	GO:1901342	regulation of vasculature development	39/900	422/18670	7.98750592192394e-05	0.00311949547685139	0.00257754714125243	TMEM100/BMPER/CCBE1/COL4A3/HSPB6/SEMA6A/ANGPT4/TEK/SFRP1/RAMP2/SEMA5A/NPR1/CMA1/ACVRL1/HOXA5/GATA2/CDH5/EMP2/TIE1/CD160/CX3CL1/RECK/SASH1/MMRN2/CX3CR1/PTGIS/FGF2/HEY1/AQP1/RHOJ/KDR/STARD13/PTN/PTPRM/PDGFB/CREB3L1/MDK/XDH/ADM2	39
BP	GO:0019229	regulation of vasoconstriction	11/900	58/18670	8.73008726649608e-05	0.00337753392929033	0.00279075670682247	ADRA1A/CAV1/AVPR2/ATP1A2/APLN/DOCK4/P2RX1/ADRA1B/KCNMB2/GJA5/EDN2	11
BP	GO:0007596	blood coagulation	33/900	336/18670	8.8301393582371e-05	0.00337753392929033	0.00279075670682247	WNT3A/P2RX6/CPB2/P2RX2/SCUBE1/CAV1/ITGA2B/GATA1/GP9/PEAR1/GATA2/VWF/TRPC3/THBD/CD36/VTN/KLKB1/MMRN1/FBLN1/P2RX1/A2M/PRKCE/F10/SELP/SERPING1/PRTN3/PDGFB/F2RL1/SLC7A11/C4BPB/PROC/TSPAN8/HNF4A	33
BP	GO:0019932	second-messenger-mediated signaling	40/900	439/18670	8.85090907655597e-05	0.00337753392929033	0.00279075670682247	TMEM100/P2RX2/ADRA1A/VIP/NOS1/NMUR1/RAMP3/ADRB2/RXFP1/RAMP2/PDE2A/EDNRB/PTH1R/NPR1/ADRA1D/CALCRL/ADCY4/ATP1A2/CD36/PLA2G4B/CASQ2/PTGFR/PDE5A/CX3CR1/ADRA1B/MYOZ1/AQP1/SELP/RYR2/LMCD1/KDR/PTGIR/JPH4/ZAP70/GSTM2/RAPGEF4/ATP1B1/EDN2/ADM2/SPINK1	40
BP	GO:0003093	regulation of glomerular filtration	5/900	11/18670	9.32362133849345e-05	0.00353096841447945	0.00291753509826541	CORO2B/EMP2/PDGFB/GJA5/F2RL1	5
BP	GO:0048546	digestive tract morphogenesis	10/900	49/18670	9.53811261803856e-05	0.0035850394719981	0.00296221241893022	TCF21/FGF10/SFRP1/FOXF1/HLX/SOX17/SIX2/SOX11/STRA6/AGR2	10
